
epoch,loss,val_loss
0,0.11763543125922786,0.021322482176729437
1,0.010009719550003562,0.0048759171842602724
2,0.0071717876248007708,0.0038031758000890994
3,0.0058113699155882661,0.0028072899013962703
4,0.0047619763112559683,0.0025192786756498536
5,0.0044014347727354347,0.0038378531947760837
6,0.0041645860819736228,0.0029205547530524512
7,0.0036999367250564385,0.0024123907786252649
8,0.0035774910674229153,0.0028161528038130783
9,0.0033927303947241237,0.0029951710076716945
10,0.0031262995441129478,0.0025397679952366761
11,0.0029407745036386704,0.0028856961802281394
12,0.0025209376391512441,0.0025699856994213545
13,0.0023765749888890126,0.00252872018425111
14,0.0024091806192365608,0.0027767292755397637
15,0.0020986626418239259,0.0034698995873202426
16,0.0019673739833660966,0.0024285372195321803
17,0.0018721009785513641,0.0032471793990244691
18,0.001727930310870687,0.0029527651121607785
19,0.0015495818539641478,0.0024465253212663553
20,0.0014363752321937375,0.0025345884526904216
21,0.001382628546619951,0.0024357295046462681
22,0.0012557475577083933,0.0025083550576120322
23,0.0011969191988667846,0.0025323396121183553
24,0.0010850505716215474,0.0027061084764441129
25,0.00095195199642693232,0.0026049811140016182
26,0.00096004142045501815,0.0023726520360421548
27,0.00089434679402570594,0.0025215274274561572
28,0.00087453281866898441,0.0024612794789205237
29,0.00084468053516531039,0.0024043821475240607
30,0.00083353387429065215,0.0025941339200822038
31,0.00081746476666402855,0.0026686453694516853
32,0.00073617011963109959,0.0023992474350474032
33,0.00073980334237845038,0.0024732082964311094
34,0.00073515137342397346,0.0022407550637767539
35,0.00070160351468770714,0.0024229209082547794
36,0.00069077454064393642,0.0026731306513147588
37,0.00070315865191155897,0.0025681979082931823
38,0.00065625896631472057,0.0023190116921114599
39,0.00062493413365927598,0.0022320345031691903
40,0.00063027847120964949,0.0022549539240367109
41,0.00059043831100902733,0.0023657838444373202
42,0.00063287291473082498,0.0023360664452274672
43,0.00060666196580713694,0.0021511932015040895
44,0.00058144838248354823,0.0023461621903986974
45,0.00059684064010226054,0.0023065490607578122
46,0.00056375012277386108,0.0023268269988190402
47,0.00058717338572605241,0.0021892753259064117
48,0.00058340842127877683,0.0022679033450184981
49,0.00055096454620483736,0.0021483084820955374
